Nödvändiga (26) - Inställningar (13) - Statistik (21) - Marknadsföring (296) - Oklassificerade (48)

Nödvändiga
 cid_#, ctnsnet.com
 opt, ctnsnet.com
 CDIUSER, deepintent.com
 demdex, demdex.net
 dpm, demdex.net
 DSID, doubleclick.net
 matchfreewheel, w55c.net
 matchgoogle, w55c.net
 matchliveramp, w55c.net
 matchpubmatic, w55c.net
 wfivefivec, w55c.net
 wam-sync, weborama.com
 AFFICHE_W, weborama.fr
 gwsi, widespace.com
 B, yahoo.com
 yandexuid, yandex.ru
 __ytmedia, y-medialink.com
 GPS, youtube.com
 PREF, youtube.com
 VISITOR_INFO1_LIVE, youtube.com
 YSC, youtube.com
 yt-remote-cast-installed, youtube.com
 yt-remote-connected-devices, youtube.com
 yt-remote-device-id, youtube.com
 yt-remote-fast-check-period, youtube.com
 yt-remote-session-app, youtube.com
 yt-remote-session-name, youtube.com
 zuid, zemanta.com
 cicouid, zorosrv.com
 um [x3], 360yield.com lwadm.com plista.com
 na_sc_x, addthis.com
 0, adform.net
 jslog, adform.net
 mobile/csimpr, adform.net
 serving/unload, adform.net
 appnexus_sync, adhigh.net
 appnexus [x2], adingo.jp s.spoutable.com
 icu, adnxs.com
 partners, adotmob.com
 uuid3, adsniper.ru
 APIDTS [x2], adtech.com yahoo.com
 eAPID, adtech.com
 report/#, adten.eu
 report/backfill/1819, adten.eu
 sync_16248314, adventori.com
 tk_ui, adventori.com
 tk_ui_third, adventori.com
 IDSYNC, analytics.yahoo.com
 __ab12# [x4], bidtheatre.com sharethis.com stockholmdirekt.se truoptik.com
 ANONCHK, bing.com
 digitalAudience, digitalaudience.io
 duid_340, ebdr3.com
 ev_sync_ax, everesttech.net
 _uid, fwmrm.net
 UUID#[abcdef0123456789]{32} [x5], gru.eniro.se julio-cdn.eniro.com mapsearch.eniro.com pixel-profile-cloud.eniro.com tileversion.eniro.com
 gdpr, id5-sync.com
 jvxsync, jivox.com
 LIG_#, ligadx.com
 viewer_token, loopme.me
 syncdata_#, mookie1.com
 cookie, onaudience.com
 pd, openx.net
 apnxs, outbrain.com
 p2, owneriq.net
 type/pixel/p#, pixel-profile-cloud.eniro.com
 arv, plista.com
 clr, plista.com
 frc, plista.com
 imr, plista.com
 matching/pixel, plista.com
 Pookie, plista.com
 rec, plista.com
 red, plista.com
 dsps:#, powerlinks.com
 ssps:#, powerlinks.com
 sync_#GUID#, powerlinks.com
 emilyRan, rubiconproject.com
 RUN_SYNC_2, rundsp.com
 S_#, serving-sys.com
 serving/adServer.bs, serving-sys.com
 dspuuid, smartclip.net
 uid-bp-#, stickyadstv.com
 svResp, survata.com
 bt3, thebrighttag.com
 btv3.an, thebrighttag.com
 to_master, truoptik.com
 to_version, truoptik.com
 __widgetsettings, twitter.com
 i/jot/syndication, twitter.com
 td, unrulymedia.com
 unruly_m#, unrulymedia.com
 unruly_u, unrulymedia.com
 hit.gif, userreport.com
 matchan, w55c.net
 matchgroupm, w55c.net
 CSNBrief, wayfair.com
 CSNUtId, wayfair.com
---------------------

Oklassificerade
--------TABLE--------
 DID, ads.smartstream.tv
 idt, ads.smartstream.tv
 permanent, ads.smartstream.tv
 b30msc, beacon.walmart.com
 bsc, beacon.walmart.com
 btc, beacon.walmart.com
 suuid3, bumlam.com
 _hrmts_locationString, candidate.hr-manager.net
 HRMTS.Session.Candidate, candidate.hr-manager.net
 _content_session, delivery.youplay.se
 euid, emerse.com
 _en, eniro.se
 _enid, eniro.se
 _ensess, eniro.se
 channelvisits, eniro.se
 euconsent, eniro.se
 gdpr-consent, eniro.se
 onces, eniro.se
 s_uuid, eniro.se
 topdomaintest, eniro.se
 ANUSERCOOKIE, infolinks.com
 tileversion, kartor.eniro.se
