Nødvendige (43) - Præferencer (13) - Statistik (54) - Marketing (148) - Uklassificert (56) 


Nødvendige
 _sc, fwmrm.net
 _wr, fwmrm.net
 NID, google.com
 rc::c, google.com
 idb, impdesk.com
 _kuid_, krxd.net
 ljt_reader, lijit.com
 id, m6r.eu
 mt_mop, mathtag.com
 uuidc, mathtag.com
 dsp_id, netmng.com
 KADUSERCOOKIE, pubmatic.com
 KTPCACOOKIE, pubmatic.com
 mc, quantserve.com
 eud, rfihub.com
 euds, rfihub.com
 rud, rfihub.com
 ruds, rfihub.com
 smd, rfihub.com
 pxrc, rlcdn.com
 rlas3, rlcdn.com
---------------------

Uklassificert
--------TABLE--------
 tuuid [x8], mfadsrvr.com r.scoota.co 254a.com 4finance.com admedo.com bidswitch.net creative-serving.com programattik.com
 b2b_company, berlingske.dk
 BMSESSID, berlingske.dk
 cto_writeable, berlingske.dk
 investor_subscriber, berlingske.dk
 krkAdfArticleCounterBer, berlingske.dk
 __storejs__test__, berlingske.dk
 _fbc, berlingske.dk
 apr_dsu, berlingske.dk
 apr_tdc, berlingske.dk
 apr_whoami, berlingske.dk
 ubpv, abonnement.business.dk
 ubvs, abonnement.business.dk
 ubvt, business.dk
 survi::5dea3bd36f5c9c50e6116ea47b2d1eeb::initial-url, berlingske.dk
 survi::5dea3bd36f5c9c50e6116ea47b2d1eeb::referrer-url, berlingske.dk
 survi::5dea3bd36f5c9c50e6116ea47b2d1eeb::search-string, berlingske.dk
 survi::5dea3bd36f5c9c50e6116ea47b2d1eeb::views, berlingske.dk
 survi::5dea3bd36f5c9c50e6116ea47b2d1eeb::visits-count, berlingske.dk
 userInfo, berlingske.dk
 visited_frontpage_at, berlingske.dk
 _initial_referrer, e.infogram.com
 npii, ebay.com
 apiDomain_3_y-jd0TXyC7mzfQtaKbUTfLazF6yO-2Nzuc32nOceGlIwP8LlAq1NLCCHESxSbKLJ, gigya.com
 ___utmvbRouBZkXB, incapsula-test2.cedexis-test.com
 ___utmvmRouBZkXB, incapsula-test2.cedexis-test.com
 ig_putma, infogram.com
 bf_session, interaktiv.mx.dk
 ci_csrf_token, interaktiv.mx.dk
 _c_IEI, kr.ixiaa.com
 _osm_totp_token, openstreetmap.org
 37264064_p, podcast.24syv.dk
 37264064_u, podcast.24syv.dk
 (unavngiven), viafree.dk
 _hjCookieTest, viafree.dk
 _kxnentdenmark_geo, viafree.dk
 _kxnentdenmark_kuid, viafree.dk
 _kxnentdenmark_tech, viafree.dk
 _kxnentdenmark_user, viafree.dk
 _kxnentdenmark_visits, viafree.dk
 _kxnentdenmark_whistle, viafree.dk
 kxnentdenmark_geo, viafree.dk
 kxnentdenmark_kuid, viafree.dk
 kxnentdenmark_tech, viafree.dk
 kxnentdenmark_user, viafree.dk
 kxnentdenmark_visits, viafree.dk
 kxnentdenmark_whistle, viafree.dk
 xd_play_anon_id, viafree.dk
 xd_play_user_id, viafree.dk
---------------------
